0920110514204108307601703JESUS MARIA              DOMINGUEZ                DOMINGUEZ                M                  015S
0920110514204108307601703DAVID                    ORTEGA                   ALONSO                   M                  018S
0920110514204208307602502JULIAN                   RUIZ                     LLORENTE                 M                  025S
0920110514204208307602502EUSEBIO                  LASECA                   LASECA                   M                  020S
0920110514204208307602502ALBERTO                  GARCIA                   GARCIA                   M                  005N
0920110514204208318601101OCTAVIO                  LLORENTE                 SANZ                     M                  011S
0920110512603516307600601VALENTIN                 ARAGON                   BLANCO                   M                  007S
0920110512603516307600601MARIA PILAR              DOMINGUEZ                BLANCO                   F                  006N
0920110512603516314101102RODRIGO                  ALBA                     MARTÍNEZ                 M                  012S
0920110512603516314101102FRANCISCO JAVIER         MORENO                   GÓMEZ                    M                  011S
0920110512603516318600000MARTA                    ESPINOSA                 CARIÑANOS                F                  000N
0920110512603516318600000ALMUDENA                 BERMEJO                  DIAZ                     F                  000N
0920110512601216307600500VICENTA                  RODRIGO                  TABERNERO                F                  005N
0920110512601216307600500JOSE MARÍA               MARTINEZ                 VELILLA                  M                  005N
0920110512601216314101503SUSANA                   MURO                     LOZANO                   F                  009S
0920110512601216314101503SOLEDAD                  CAZAÑA                   DOMENECH                 F                  011S
0920110512601216314101503JOSÉ ANTONIO             GARÓS                    MARTÍNEZ                 M                  010S
0920110512601216318600000ENRIQUE                  RUIZ                     LOPEZ (IND)              M                  000N
0820110512601016318601401ANA                      NALDA                    SUAREZ (IND)             F                  017S
0820110512603716307605803SUSANA                   RICA                     RUBIO                    F                  071S
0820110512603716307605803NOELIA BEGOÑA            IBAÑEZ                   IBAÑEZ                   F                  058S
0820110512603716307605803JON                      ANGUIANO                 CONDE                    M                  058S
0820110512603716307605803FRANCISCO JAVIER         TURZA                    HERNAEZ                  M                  047N
0820110512603716314102200MIRIAN                   ÁLAMOS                   PASCUAL                  F                  017N
0820110512603716314102200MERI GILBERTO            IBÁÑEZ                   ECHAVE                   M                  027N
0920110512601616307601902MIGUEL ANGEL             PEREZ                    DOMINGUEZ                M                  017S
0920110512601616307601902JESUS                    ARMIÑANZAS               SAENZ                    M                  022S
0920110512601616313900200MARÍA INMACULADA         PERRELLA                 CLOT                     F                  002N
0920110512601616318600701JAVIER                   LACALLE                  GARCIA                   M                  008S
0920110512601616318600701DAVID                    LACALLE                  GARCIA                   M                  007N
0920110512602516307600700ISIDORO                  AGUSTIN                  VELASCO                  M                  007N
0920110512602516307600700EULOGIO                  MARTINEZ                 SAEZ                     M                  007N
0920110512602516313900300JOSE MANUELl             JAYO                     EGÜEN (IND)              M                  003N
0920110512602516318604803JESUS                    RUIZ                     QUINTANILLA              M                  048S
0920110512602516318604803JESUS                    CANTABRANA               GONZALEZ (IND)           M                  018S
